symbol,date,open,high,low,close,volume,adjusted
TSLA,2021-09-28,787.200012,795.640015,766.179993,777.559998,25381400,777.559998
TSLA,2021-09-29,779.799988,793.5,770.679993,781.309998,20942900,781.309998
TSLA,2021-09-30,781,789.130005,775,775.47998,17956000,775.47998
TSLA,2021-10-01,778.400024,780.780029,763.590027,775.219971,17031400,775.219971
TSLA,2021-10-04,796.5,806.969971,776.119995,781.530029,30483300,781.530029
TSLA,2021-10-05,784.799988,797.309998,774.200012,780.590027,18432600,780.590027
TSLA,2021-10-06,776.200012,786.659973,773.219971,782.75,14632800,782.75
TSLA,2021-10-07,785.460022,805,783.380005,793.609985,19195800,793.609985
TSLA,2021-10-08,796.210022,796.380005,780.909973,785.48999,16711100,785.48999
TSLA,2021-10-11,787.650024,801.23999,785.5,791.940002,14200300,791.940002
TSLA,2021-10-12,800.929993,812.320007,796.570007,805.719971,22020000,805.719971
TSLA,2021-10-13,810.469971,815.409973,805.780029,811.080017,14120100,811.080017
TSLA,2021-10-14,815.48999,820.25,813.349976,818.320007,12247200,818.320007
TSLA,2021-10-15,823.73999,843.210022,822.349976,843.030029,18818000,843.030029
TSLA,2021-10-18,851.789978,875.26001,851.469971,870.109985,24207200,870.109985
TSLA,2021-10-19,877.530029,877.950012,862.51001,864.27002,17381100,864.27002
TSLA,2021-10-20,865.349976,869.48999,857.380005,865.799988,14032100,865.799988
TSLA,2021-10-21,856,900,855.5,894,31481500,894
TSLA,2021-10-22,895.5,910,890.960022,909.679993,22836800,909.679993
